### Experimental file: ../Exp/OASaltDep.txt ExpType: ka CorrectOA: True CorrectCB: False OAHOnly: False OAMeOnly: True CalcPairDiffs: False WithUncert: True WithRep: True
          Submission	Slope	Mean	±	SEM	Interc	Mean	±	SEM	R	Mean	±	SEM	R^2	Mean	±	SEM	RMSE	Mean	±	SEM	MSE	Mean	±	SEM	MUE	Mean	±	SEM	TAU	Mean	±	SEM	
            MovTyp-1	 -1.51	 -1.32	±	  0.84	-11.29	-10.21	±	  4.09	 -0.82	 -0.69	±	  0.38	  0.68	  0.61	±	  0.33	  3.08	  2.92	±	  0.98	 -0.00	 -0.00	±	  1.26	  2.26	  2.26	±	  0.86	 -0.47	 -0.43	±	  0.35	
            MovTyp-2	 -1.69	 -1.51	±	  1.25	-12.09	-11.01	±	  6.04	 -0.73	 -0.60	±	  0.41	  0.53	  0.53	±	  0.32	  3.54	  3.39	±	  1.02	  0.00	 -0.00	±	  1.44	  2.76	  2.76	±	  0.91	 -0.47	 -0.43	±	  0.35	
        PERT-bound-c	 -0.81	 -0.41	±	  1.72	 -8.14	 -6.05	±	  8.26	 -0.39	 -0.21	±	  0.55	  0.15	  0.35	±	  0.27	  2.97	  3.05	±	  1.11	  0.00	 -0.00	±	  1.32	  2.32	  2.44	±	  0.88	 -0.20	 -0.11	±	  0.39	
          PERT-bound	 -0.62	 -0.15	±	  1.72	 -7.31	 -4.88	±	  8.10	 -0.33	 -0.15	±	  0.59	  0.11	  0.37	±	  0.29	  2.74	  2.83	±	  1.12	  0.00	  0.00	±	  1.24	  2.00	  2.15	±	  0.87	 -0.20	 -0.09	±	  0.40	
        PERT-hrex-c1	 -1.09	 -0.65	±	  1.56	 -9.43	 -7.04	±	  7.69	 -0.50	 -0.30	±	  0.59	  0.25	  0.45	±	  0.29	  3.20	  3.15	±	  1.03	 -0.00	 -0.00	±	  1.35	  2.53	  2.61	±	  0.84	 -0.20	 -0.15	±	  0.41	
        PERT-hrex-c2	 -0.08	  0.23	±	  1.12	 -4.86	 -3.18	±	  5.47	 -0.06	 -0.02	±	  0.58	  0.00	  0.34	±	  0.31	  1.85	  1.96	±	  0.52	  0.00	  0.00	±	  0.83	  1.38	  1.67	±	  0.47	 -0.07	  0.02	±	  0.41	
         PERT-hrex-c	 -0.91	 -0.41	±	  1.54	 -8.60	 -5.96	±	  7.52	 -0.46	 -0.25	±	  0.62	  0.21	  0.44	±	  0.29	  2.96	  2.92	±	  1.00	  0.00	  0.01	±	  1.26	  2.25	  2.33	±	  0.83	 -0.07	 -0.07	±	  0.41	
           PERT-hrex	 -0.91	 -0.41	±	  1.51	 -8.60	 -5.98	±	  7.45	 -0.46	 -0.26	±	  0.61	  0.21	  0.44	±	  0.29	  2.96	  2.92	±	  1.00	  0.00	  0.00	±	  1.26	  2.25	  2.33	±	  0.83	 -0.07	 -0.08	±	  0.41	
              SOMD-1	  1.11	  0.99	±	  0.51	  0.50	 -0.12	±	  2.55	  0.88	  0.75	±	  0.31	  0.77	  0.65	±	  0.30	  0.70	  0.78	±	  0.26	  0.00	  0.00	±	  0.34	  0.63	  0.65	±	  0.21	  0.47	  0.47	±	  0.30	
              SOMD-2	  1.11	  1.01	±	  0.56	  0.51	 -0.06	±	  2.69	  0.88	  0.75	±	  0.30	  0.78	  0.66	±	  0.30	  0.69	  0.78	±	  0.26	  0.00	  0.00	±	  0.34	  0.62	  0.64	±	  0.21	  0.60	  0.47	±	  0.30	
              SOMD-3	  1.12	  1.01	±	  0.52	  0.53	 -0.06	±	  2.62	  0.88	  0.75	±	  0.30	  0.78	  0.66	±	  0.30	  0.69	  0.78	±	  0.26	  0.00	  0.00	±	  0.34	  0.62	  0.65	±	  0.21	  0.60	  0.48	±	  0.30	
              SOMD-4	 -1.45	 -0.47	±	  7.06	-11.03	 -7.20	±	 34.46	 -0.17	 -0.08	±	  0.51	  0.03	  0.27	±	  0.29	 10.00	  9.89	±	  1.49	 -0.00	 -0.02	±	  4.10	  9.39	  9.39	±	  1.42	  0.07	  0.08	±	  0.35	
         MMPBSA-OPLS	 -1.71	 -1.36	±	  1.05	-12.21	-10.44	±	  5.15	 -0.81	 -0.65	±	  0.41	  0.65	  0.59	±	  0.31	  3.39	  3.19	±	  1.13	  0.00	  0.00	±	  1.38	  2.49	  2.48	±	  0.94	 -0.60	 -0.44	±	  0.35	
