### Experimental file: ../Exp/OASaltDep.txt ExpType: ka CorrectOA: True CorrectCB: False OAHOnly: True OAMeOnly: False CalcPairDiffs: False WithUncert: True WithRep: True
          Submission	Slope	Mean	±	SEM	Interc	Mean	±	SEM	R	Mean	±	SEM	R^2	Mean	±	SEM	RMSE	Mean	±	SEM	MSE	Mean	±	SEM	MUE	Mean	±	SEM	TAU	Mean	±	SEM	
        PERT-bound-c	  1.00	  1.58	±	  3.88	 -0.02	  2.80	±	 29.58	  0.90	  0.78	±	  0.21	  0.81	  0.65	±	  0.23	  0.85	  1.32	±	  0.39	  0.00	 -0.00	±	  0.56	  0.73	  1.11	±	  0.33	  0.73	  0.54	±	  0.26	
          PERT-bound	  0.95	  1.66	±	  4.80	 -0.26	  3.02	±	 24.96	  0.71	  0.67	±	  0.26	  0.50	  0.52	±	  0.25	  1.65	  1.92	±	  0.46	  0.00	 -0.00	±	  0.81	  1.24	  1.65	±	  0.44	  0.60	  0.39	±	  0.29	
        PERT-hrex-c1	  0.49	  1.03	±	  2.39	 -2.87	 -0.29	±	 11.71	  0.73	  0.77	±	  0.19	  0.53	  0.62	±	  0.22	  1.19	  1.24	±	  0.36	  0.00	 -0.00	±	  0.52	  0.98	  1.02	±	  0.32	  0.60	  0.56	±	  0.26	
        PERT-hrex-c2	  0.29	  0.71	±	  2.58	 -4.00	 -1.96	±	 12.80	  0.51	  0.57	±	  0.28	  0.26	  0.41	±	  0.25	  1.49	  1.46	±	  0.45	  0.00	 -0.00	±	  0.62	  1.24	  1.24	±	  0.36	  0.47	  0.39	±	  0.29	
         PERT-hrex-c	  0.41	  0.78	±	  1.86	 -3.31	 -1.52	±	  9.37	  0.66	  0.72	±	  0.19	  0.43	  0.55	±	  0.21	  1.30	  1.29	±	  0.33	  0.00	 -0.00	±	  0.54	  1.11	  1.11	±	  0.30	  0.60	  0.49	±	  0.27	
           PERT-hrex	  0.35	  0.76	±	  4.77	 -3.65	 -1.73	±	 24.11	  0.41	  0.53	±	  0.31	  0.17	  0.37	±	  0.28	  1.75	  1.70	±	  0.53	  0.00	 -0.00	±	  0.73	  1.31	  1.31	±	  0.49	  0.47	  0.38	±	  0.30	
              SOMD-1	  1.32	  1.13	±	  1.18	  1.79	  0.83	±	  5.91	  0.96	  0.74	±	  0.44	  0.93	  0.75	±	  0.30	  0.85	  0.97	±	  0.35	  0.00	 -0.00	±	  0.42	  0.74	  0.80	±	  0.27	  0.47	  0.39	±	  0.36	
              SOMD-2	  1.36	  1.13	±	  2.50	  1.99	  0.84	±	 12.06	  0.96	  0.74	±	  0.45	  0.93	  0.75	±	  0.31	  0.90	  0.98	±	  0.34	  0.00	 -0.00	±	  0.42	  0.75	  0.80	±	  0.27	  0.47	  0.38	±	  0.36	
              SOMD-3	  1.32	  1.01	±	  1.42	  1.77	  0.25	±	  8.58	  0.94	  0.67	±	  0.53	  0.88	  0.73	±	  0.31	  0.99	  1.08	±	  0.31	  0.00	 -0.00	±	  0.46	  0.86	  0.90	±	  0.27	  0.33	  0.28	±	  0.39	
              SOMD-4	  3.58	  3.69	±	 27.71	 14.46	 15.15	±	139.84	  0.59	  0.55	±	  0.36	  0.35	  0.43	±	  0.27	  9.55	  9.45	±	  1.47	 -0.00	 -0.01	±	  3.90	  8.89	  8.88	±	  1.44	  0.47	  0.39	±	  0.30	
          PERT-combo	  0.58	  1.12	±	  2.47	 -2.36	  0.27	±	 12.64	  0.80	  0.73	±	  0.23	  0.65	  0.58	±	  0.25	  1.04	  1.22	±	  0.38	  0.00	  0.00	±	  0.52	  0.91	  1.03	±	  0.31	  0.87	  0.56	±	  0.25	
