### Experimental file: ../Exp/OAAllAvg.txt ExpType: ka CorrectOA: True CorrectCB: False OAHOnly: False OAMeOnly: False CalcPairDiffs: False WithUncert: True WithRep: True
          Submission	Slope	Mean	±	SEM	Interc	Mean	±	SEM	R	Mean	±	SEM	R^2	Mean	±	SEM	RMSE	Mean	±	SEM	MSE	Mean	±	SEM	MUE	Mean	±	SEM	TAU	Mean	±	SEM	
            MovTyp-1	  0.27	 -0.11	±	  0.95	 -3.65	 -5.25	±	  4.47	  0.21	  0.04	±	  0.60	  0.04	  0.36	±	  0.29	  2.30	  2.19	±	  0.70	  0.00	  0.00	±	  0.66	  1.53	  1.53	±	  0.49	 -0.21	 -0.17	±	  0.27	
            MovTyp-2	  0.33	 -0.13	±	  1.12	 -3.38	 -5.25	±	  5.30	  0.20	  0.05	±	  0.55	  0.04	  0.30	±	  0.25	  2.72	  2.64	±	  0.71	  0.00	 -0.00	±	  0.79	  2.04	  2.05	±	  0.52	 -0.15	 -0.12	±	  0.26	
        PERT-bound-c	  0.51	  0.42	±	  0.91	 -2.47	 -2.72	±	  4.60	  0.36	  0.28	±	  0.43	  0.13	  0.27	±	  0.24	  2.18	  2.37	±	  0.76	  0.00	 -0.00	±	  0.72	  1.53	  1.76	±	  0.51	  0.21	  0.20	±	  0.26	
          PERT-bound	  0.56	  0.60	±	  0.95	 -2.20	 -1.88	±	  4.84	  0.38	  0.33	±	  0.39	  0.15	  0.26	±	  0.23	  2.23	  2.44	±	  0.69	  0.00	  0.00	±	  0.73	  1.64	  1.89	±	  0.49	  0.33	  0.29	±	  0.25	
        PERT-hrex-c1	  0.11	  0.06	±	  0.81	 -4.45	 -4.56	±	  4.11	  0.09	  0.09	±	  0.42	  0.01	  0.19	±	  0.19	  2.43	  2.43	±	  0.72	 -0.00	 -0.00	±	  0.73	  1.76	  1.84	±	  0.50	  0.18	  0.13	±	  0.28	
        PERT-hrex-c2	  0.27	  0.35	±	  0.51	 -3.66	 -3.23	±	  2.57	  0.32	  0.28	±	  0.29	  0.11	  0.16	±	  0.16	  1.68	  1.76	±	  0.37	  0.00	  0.00	±	  0.52	  1.30	  1.44	±	  0.31	  0.33	  0.25	±	  0.24	
         PERT-hrex-c	  0.13	  0.11	±	  0.76	 -4.35	 -4.31	±	  3.90	  0.11	  0.11	±	  0.42	  0.01	  0.19	±	  0.19	  2.28	  2.28	±	  0.69	  0.00	 -0.00	±	  0.68	  1.66	  1.70	±	  0.48	  0.18	  0.19	±	  0.27	
           PERT-hrex	  0.11	  0.14	±	  0.81	 -4.46	 -4.17	±	  4.09	  0.09	  0.10	±	  0.39	  0.01	  0.16	±	  0.18	  2.41	  2.42	±	  0.66	  0.00	  0.00	±	  0.72	  1.75	  1.80	±	  0.50	  0.15	  0.18	±	  0.26	
              SOMD-1	  1.20	  1.10	±	  0.32	  0.98	  0.53	±	  1.59	  0.93	  0.82	±	  0.21	  0.86	  0.72	±	  0.25	  0.82	  0.95	±	  0.22	  0.00	  0.00	±	  0.28	  0.74	  0.78	±	  0.17	  0.45	  0.46	±	  0.20	
              SOMD-2	  1.22	  1.12	±	  0.32	  1.10	  0.63	±	  1.57	  0.93	  0.82	±	  0.21	  0.86	  0.72	±	  0.25	  0.83	  0.95	±	  0.22	  0.00	 -0.00	±	  0.28	  0.74	  0.77	±	  0.17	  0.55	  0.46	±	  0.20	
              SOMD-3	  1.19	  1.08	±	  0.35	  0.96	  0.43	±	  1.73	  0.91	  0.79	±	  0.24	  0.83	  0.69	±	  0.26	  0.91	  1.01	±	  0.21	  0.00	  0.00	±	  0.30	  0.80	  0.83	±	  0.18	  0.48	  0.42	±	  0.22	
              SOMD-4	  2.35	  2.40	±	  3.14	  6.79	  7.31	±	 15.62	  0.36	  0.33	±	  0.29	  0.13	  0.19	±	  0.17	  9.66	  9.62	±	  1.03	 -0.00	 -0.01	±	  2.79	  9.03	  9.03	±	  1.00	  0.45	  0.40	±	  0.23	
